year,team,team_salary,wins,playoff_wins,champion,spend_tier,sport
2016,Chicago Cubs,186772494.0,83.0,11.0,True,High,MLB
2016,Boston Red Sox,207758836.0,81.0,0.0,False,High,MLB
2016,Detroit Tigers,200179285.0,86.0,0.0,False,High,MLB
2016,New York Yankees,220743376.0,94.0,0.0,False,High,MLB
2016,Baltimore Orioles,154148832.0,91.0,0.0,False,Medium,MLB
2016,Texas Rangers,163021690.0,78.0,0.0,False,High,MLB
2016,Toronto Blue Jays,148385479.0,74.0,5.0,False,Medium,MLB
2016,St. Louis Cardinals,149355870.0,83.0,0.0,False,Medium,MLB
2016,Seattle Mariners,147003780.0,85.0,0.0,False,Medium,MLB
2016,Washington Nationals,139583852.0,71.0,2.0,False,Medium,MLB
2016,Kansas City Royals,141587358.0,86.0,0.0,False,Medium,MLB
2016,New York Mets,147236560.0,89.0,0.0,False,Medium,MLB
2016,Los Angeles Angels,174290373.0,63.0,0.0,False,High,MLB
2016,Chicago White Sox,129715686.0,41.0,0.0,False,Medium,MLB
2016,Colorado Rockies,106902280.0,61.0,0.0,False,Medium,MLB
2016,Arizona Diamondbacks,97874482.0,89.0,0.0,False,Medium,MLB
2016,Houston Astros,99828742.0,88.0,0.0,False,Medium,MLB
2016,Minnesota Twins,97244457.0,82.0,0.0,False,Low,MLB
2016,Cincinnati Reds,87226437.0,77.0,0.0,False,Low,MLB
2016,Cleveland Guardians,104971268.0,92.0,0.0,False,Medium,MLB
2016,Miami Marlins,76365306.0,62.0,0.0,False,Low,MLB
2016,Pittsburgh Pirates,99518136.0,76.0,0.0,False,Medium,MLB
2016,Philadelphia Phillies,103898809.0,95.0,0.0,False,Medium,MLB
2016,Milwaukee Brewers,62161191.0,93.0,0.0,False,Low,MLB
2016,Atlanta Braves,95778126.0,89.0,0.0,False,Low,MLB
2016,Tampa Bay Rays,62408549.0,80.0,0.0,False,Low,MLB
2016,Oakland Athletics,83109288.0,69.0,0.0,False,Low,MLB
2016,San Diego Padres,83435559.0,93.0,0.0,False,Low,MLB
2015,Los Angeles Dodgers,301735080.0,98.0,2.0,False,High,MLB
2015,New York Yankees,221242659.0,94.0,0.0,False,High,MLB
2015,Washington Nationals,165655095.0,71.0,0.0,False,High,MLB
2015,San Francisco Giants,180163630.0,80.0,0.0,False,High,MLB
2015,St. Louis Cardinals,132178951.0,83.0,1.0,False,Medium,MLB
2015,Texas Rangers,149424268.0,78.0,2.0,False,High,MLB
2015,Kansas City Royals,126391174.0,86.0,11.0,True,Medium,MLB
2015,Detroit Tigers,162160921.0,86.0,0.0,False,High,MLB
2015,Chicago Cubs,132993810.0,83.0,4.0,False,Medium,MLB
2015,Los Angeles Angels,142198162.0,63.0,0.0,False,High,MLB
2015,Toronto Blue Jays,138309664.0,74.0,5.0,False,Medium,MLB
2015,Baltimore Orioles,116400870.0,91.0,0.0,False,Medium,MLB
2015,New York Mets,110398927.0,89.0,8.0,False,Medium,MLB
2015,Minnesota Twins,106231818.0,82.0,0.0,False,Medium,MLB
2015,Seattle Mariners,126045473.0,85.0,0.0,False,Medium,MLB
2015,Boston Red Sox,183481478.0,81.0,0.0,False,High,MLB
2015,Chicago White Sox,116925487.0,41.0,0.0,False,Medium,MLB
2015,San Diego Padres,107915272.0,93.0,0.0,False,Medium,MLB
